
Gurobi 11.0.3 (linux64, Java) logging started qui 18 dez 2025 20:27:15 -03

Set parameter WLSAccessID
Set parameter WLSSecret
Set parameter LicenseID to value 2566693
Academic license 2566693 - for non-commercial use only - registered to ja___@ufv.br
Set parameter NonConvex to value 2
Set parameter TimeLimit to value 3600
Set parameter LogToConsole to value 0
Set parameter MIPGap to value 2.8398712201892718e-08
Set parameter Threads to value 1
Set parameter NodefileDir to value "/home/ps12398/efpe/goalProgrammingMarcos/"
Set parameter NodefileStart to value 0.1
Gurobi Optimizer version 11.0.3 build v11.0.3rc0 (linux64)

CPU model: Intel(R) Xeon(R) CPU           X5650  @ 2.67GHz, instruction set [SSE2]
Thread count: 12 physical cores, 24 logical processors, using up to 1 threads

Academic license 2566693 - for non-commercial use only - registered to ja___@ufv.br
Optimize a model with 257643 rows, 174944 columns and 1943429 nonzeros
Model fingerprint: 0xc34fe10c
Model has 300 quadratic constraints
Variable types: 87326 continuous, 87618 integer (295 binary)
Coefficient statistics:
  Matrix range     [3e-03, 3e+06]
  QMatrix range    [3e-03, 5e+04]
  QLMatrix range   [1e+00, 5e+04]
  Objective range  [1e+00, 7e+07]
  Bounds range     [1e+00, 1e+08]
  RHS range        [1e+00, 2e+06]
  QRHS range       [3e-02, 3e-02]
Presolve removed 255895 rows and 172676 columns
Presolve time: 1.38s
Presolved: 2891 rows, 2626 columns, 329427 nonzeros
Presolved model has 2 SOS constraint(s)
Presolved model has 295 bilinear constraint(s)

Solving non-convex MIQCP

Variable types: 953 continuous, 1673 integer (297 binary)
Found heuristic solution: objective 2.064526e+07

Root relaxation: objective 2.294426e+06, 390 iterations, 0.21 seconds (0.08 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
  1234   772 2341681.99  211  297 2437882.75 2312311.40  5.15%   8.4  140s
  1264   792 2341683.29  226  299 2437882.75 2312311.40  5.15%   8.4  145s
  1292   811 2341685.25  240  299 2437882.75 2312311.40  5.15%   8.3  150s
  1324   832 2341687.49  256  299 2437882.75 2312311.40  5.15%   8.3  155s
  1355   853 2341689.24  272  297 2437882.75 2312311.40  5.15%   8.3  160s
  1385   873 2341691.35  287  297 2437882.75 2312311.40  5.15%   8.3  165s
  1416   893 2341693.94  302  299 2437882.75 2312311.40  5.15%   8.3  170s
  1448   915 2341696.18  318  299 2437882.75 2312311.40  5.15%   8.3  175s
  1478   935 2341699.08  333  297 2437882.75 2312311.40  5.15%   8.3  180s
  1510   956 2341701.32  349  297 2437882.75 2312311.40  5.15%   8.3  185s
  1542   977 2341703.56  365  297 2437882.75 2312311.40  5.15%   8.2  190s
  1570   996 2341705.52  379  297 2437882.75 2312311.40  5.15%   8.2  195s
  1598  1015 2341707.48  393  297 2437882.75 2312311.40  5.15%   8.2  200s
  1616  1027 2341707.94  402  299 2437882.75 2312311.40  5.15%   8.2  205s
  1637  1041 2341709.00  413  297 2437882.75 2312311.40  5.15%   8.2  210s
  1656  1053 2341710.74  422  299 2437882.75 2312311.40  5.15%   8.2  215s
  1686  1073 2341713.64  437  297 2437882.75 2312311.40  5.15%   8.2  220s
H 1700  1055                    2437861.4276 2312311.40  5.15%   8.2  222s
  1717  1068 2341714.60  453  297 2437861.43 2312311.40  5.15%   8.2  225s
  1748  1089 2341717.18  468  299 2437861.43 2312311.40  5.15%   8.2  230s
  1776  1107 2341719.14  482  299 2437861.43 2312311.40  5.15%   8.2  235s
  1806  1127 2341722.04  497  297 2437861.43 2312311.40  5.15%   8.2  240s
  1837  1148 2341723.01  513  297 2437861.43 2312311.40  5.15%   8.2  245s
  1867  1168 2341725.10  528  297 2437861.43 2312311.40  5.15%   8.2  250s
  1898  1189 2341728.49  543  297 2437861.43 2312311.40  5.15%   8.2  255s
  1929  1209 2341729.45  559  297 2437861.43 2312311.40  5.15%   8.1  260s
  1957  1228 2341731.41  573  297 2437861.43 2312311.40  5.15%   8.1  265s
  1986  1247 2341734.65  587  297 2437861.43 2312311.40  5.15%   8.1  270s
  2013  1265 2341735.33  601  297 2437861.43 2312311.40  5.15%   8.1  275s
  2042  1285 2341738.57  615  297 2437861.43 2312311.40  5.15%   8.1  280s
  2072  1305 2341739.87  630  299 2437861.43 2312311.40  5.15%   8.1  285s
  2104  1326 2341742.11  646  299 2437861.43 2312311.40  5.15%   8.1  290s
  2135  1347 2341743.86  662  297 2437861.43 2312311.40  5.15%   8.1  295s
  2165  1367 2341745.97  677  297 2437861.43 2312311.40  5.15%   8.1  300s
  2197  1388 2341748.21  693  297 2437861.43 2312311.40  5.15%   8.1  305s
  2229  1409 2341750.45  709  297 2437861.43 2312311.40  5.15%   8.1  310s
  2259  1429 2341752.55  724  297 2437861.43 2312311.40  5.15%   8.1  315s
  2289  1449 2341754.66  739  297 2437861.43 2312311.40  5.15%   8.1  320s
  2321  1471 2341756.90  755  297 2437861.43 2312311.40  5.15%   8.1  325s
  2350  1490 2341760.14  769  297 2437861.43 2312311.40  5.15%   8.1  330s
  2381  1511 2341761.10  785  297 2437861.43 2312311.40  5.15%   8.1  335s
  2413  1541 2341763.34  801  297 2437861.43 2312311.40  5.15%   8.1  340s
  2442  1570 2341766.58  815  297 2437861.43 2312311.40  5.15%   8.1  345s
  2474  1602 2341768.82  831  297 2437861.43 2312311.40  5.15%   8.1  350s
  2505  1633 2341769.78  847  297 2437861.43 2312311.40  5.15%   8.1  355s
  2534  1662 2341773.02  861  297 2437861.43 2312311.40  5.15%   8.1  360s
  2565  1693 2341773.98  877  297 2437861.43 2312311.40  5.15%   8.0  365s
  2597  1725 2341776.22  893  297 2437861.43 2312311.40  5.15%   8.0  370s
  2626  1754 2341779.46  907  297 2437861.43 2312311.40  5.15%   8.0  375s
  2657  1785 2341781.09  923  297 2437861.43 2312311.40  5.15%   8.1  380s
  2685  1813 2341782.51  937  297 2437861.43 2312311.40  5.15%   8.1  385s
  2716  1844 2341783.95  952  297 2437861.43 2312311.40  5.15%   8.1  390s
  2746  1874 2341785.13  967  295 2437861.43 2312311.40  5.15%   8.1  395s
  2776  1904 2341785.92  982  297 2437861.43 2312311.40  5.15%   8.0  400s
  2808  1936 2341786.97  998  297 2437861.43 2312311.40  5.15%   8.0  405s
  2837  1965 2341787.51 1013  297 2437861.43 2312311.40  5.15%   8.0  410s
  2862  1990 2341788.94 1025  295 2437861.43 2312311.40  5.15%   7.9  415s
  2892  2020 2341789.73 1040  297 2437861.43 2312311.40  5.15%   7.9  420s
  2919  2047 2341790.20 1054  297 2437861.43 2312311.40  5.15%   7.9  425s
  2948  2076 2341791.57 1068  297 2437861.43 2312311.40  5.15%   7.9  430s
  2976  2104 2341792.49 1082  297 2437861.43 2312311.40  5.15%   7.8  435s
  3002  2130 2341793.54 1095  295 2437861.43 2312311.40  5.15%   7.8  440s
  3031  2159 2341793.88 1110  297 2437861.43 2312311.40  5.15%   7.8  445s
  3063  2191 2341794.93 1126  297 2437861.43 2312311.40  5.15%   7.8  450s
  3094  2222 2341796.57 1141  295 2437861.43 2312311.40  5.15%   7.7  455s
  3123  2251 2341796.90 1156  297 2437861.43 2312311.40  5.15%   7.7  460s
  3151  2279 2342778.24 1170  298 2437861.43 2312311.40  5.15%   7.8  465s
  3181  2305 2377918.69 1185  302 2437861.43 2312311.40  5.15%   7.9  470s
  3207  2329 2381127.04 1198  297 2437861.43 2312311.40  5.15%   7.9  475s
  3234  2354 2396632.61 1211  296 2437861.43 2312311.40  5.15%   7.9  480s
  3263  2375 2416686.37 1226  297 2437861.43 2312311.40  5.15%   7.9  485s
  3289  2401 2416694.73 1239  297 2437861.43 2312311.40  5.15%   7.8  490s
  3323  2407     cutoff 1246      2437861.43 2312311.40  5.15%   7.9  495s
H 3354  2400                    2427810.8550 2312322.08  4.76%   7.9  499s
  3356  2404 2314308.70   36  317 2427810.86 2312322.08  4.76%   7.9  500s
  3386  2434 2314335.23   51  298 2427810.86 2312322.08  4.76%   7.8  505s
  3419  2465 2314338.63   67  299 2427810.86 2312322.08  4.76%   7.8  510s
  3445  2491 2315672.68   80  297 2427810.86 2312322.08  4.76%   7.8  515s
  3468  2514 2315667.35   92  303 2427810.86 2312322.08  4.76%   7.9  520s
  3494  2534 2333794.92  105  295 2427810.86 2312322.08  4.76%   8.0  525s
  3530  2534 infeasible  123      2427810.86 2312322.08  4.76%   8.0  530s
  3566  2536 2419548.81  141  290 2427810.86 2312322.08  4.76%   8.0  535s
  3598  2536 2422030.67  157  286 2427810.86 2312322.08  4.76%   8.1  540s
  3632  2536 2426433.11  174  284 2427810.86 2312322.08  4.76%   8.0  545s
  3665  2555 2314225.70   46  306 2427810.86 2312325.00  4.76%   8.0  550s
  3693  2579 2318951.22   60  316 2427810.86 2312325.00  4.76%   8.0  555s
  3715  2595 2322888.16   71  317 2427810.86 2312325.00  4.76%   8.0  560s
  3809  2687 2323128.90  118  294 2427810.86 2312325.00  4.76%   8.1  565s
H 3816  2692                    2423569.6420 2312325.00  4.59%   8.1  565s
H 3844  2720                    2423569.6417 2312325.00  4.59%   8.2  566s
  3922  2748 2339771.94  174  278 2423569.64 2312325.00  4.59%   8.3  570s
H 4008  2682                    2387992.1880 2312325.00  3.17%   8.2  574s
  4031  2685 2342324.25  229  276 2387992.19 2312325.00  3.17%   8.2  575s
H 4052  2698                    2387849.4868 2312325.00  3.16%   8.2  575s
  4163  2717 2343274.94  295  274 2387849.49 2312325.00  3.16%   8.0  580s
  4302  2716 infeasible  364      2387849.49 2312325.00  3.16%   7.9  585s
H 4446  2715                    2387849.4246 2312325.00  3.16%   7.7  590s
  4566  2717 2375282.57  496  273 2387849.42 2312325.00  3.16%   7.6  595s
  4666  2751 2317317.21   56  316 2387849.42 2312328.47  3.16%   7.5  600s
H 4692  2765                    2387837.6569 2312328.47  3.16%   7.5  601s
  4790  2863 2323666.69  118  315 2387837.66 2312328.47  3.16%   7.5  605s
  4911  2961 2323911.14  178  310 2387837.66 2312328.47  3.16%   7.5  610s
  5007  3028 2324094.52  226  310 2387837.66 2312328.47  3.16%   7.3  615s
  5125  3082 infeasible  285      2387837.66 2312328.47  3.16%   7.4  620s
H 5189  3065                    2379479.8429 2312328.47  2.82%   7.5  623s
H 5216  3076                    2378623.1773 2312328.47  2.79%   7.6  624s
  5225  3079 infeasible  337      2378623.18 2312328.47  2.79%   7.6  625s
H 5243  3083                    2365637.3326 2312328.47  2.25%   7.6  626s
H 5266  3090                    2365634.1874 2312328.47  2.25%   7.7  627s
H 5270  3090                    2361775.7675 2312328.47  2.09%   7.7  627s
H 5298  3092                    2352618.3642 2312328.47  1.71%   7.8  629s
  5313  3104 2327979.62  381  287 2352618.36 2312328.47  1.71%   7.9  630s
H 5372  3115                    2352018.3775 2312328.47  1.69%   7.9  633s
  5408  3117 2341404.20  428  275 2352018.38 2312328.47  1.69%   7.8  635s
  5481  3135 2351652.34  462  340 2352018.38 2312328.47  1.69%   7.8  640s
  5559  3185 2322751.76   69  321 2352018.38 2312329.10  1.69%   7.8  645s
  5637  3261 2325946.96  108  316 2352018.38 2312329.10  1.69%   7.9  650s
  5735  3331 2325933.20  157  310 2352018.38 2312329.10  1.69%   7.9  655s
  5824  3420 2326606.02  202  308 2352018.38 2312329.10  1.69%   7.8  660s
  5919  3463     cutoff  249      2352018.38 2312329.10  1.69%   8.0  665s
  5982  3492 2329234.56  281  306 2352018.38 2312329.10  1.69%   8.1  670s
  6075  3556 2329196.64  327  298 2352018.38 2312329.10  1.69%   8.1  675s
H 6108  3579                    2351979.4458 2312329.10  1.69%   8.1  676s
  6177  3600 infeasible  378      2351979.45 2312329.10  1.69%   8.1  680s
  6281  3628 2318226.73   52  308 2351979.45 2312329.45  1.69%   8.0  685s
  6390  3713 2324812.98  106  312 2351979.45 2312329.45  1.69%   8.2  690s
  6531  3844 2325273.87  177  295 2351979.45 2312329.45  1.69%   8.1  695s
  6706  4017 2325384.05  264  293 2351979.45 2312329.45  1.69%   7.9  700s
H 6817  4126                    2351839.9648 2312329.45  1.68%   7.8  703s
  6890  4201 2325492.64  356  293 2351839.96 2312329.45  1.68%   7.7  705s
  7025  4334 2325584.96  424  289 2351839.96 2312329.45  1.68%   7.7  710s
H 7155  4458                    2351839.8981 2312329.45  1.68%   8.1  714s
  7185  4490 2326402.00  504  288 2351839.90 2312329.45  1.68%   8.3  715s
  7378  4683 2327612.87  600  288 2351839.90 2312329.45  1.68%   9.0  720s
  7566  4862 infeasible  694      2351839.90 2312329.45  1.68%   9.7  725s
  7678  4934 2320615.47   77  308 2351839.90 2312330.11  1.68%   9.8  730s
  7767  5021 2332854.12  122  298 2351839.90 2312330.11  1.68%   9.8  735s
  7858  5100 2338849.81  167  328 2351839.90 2312330.11  1.68%   9.8  740s
  7950  5190 2343191.99  213  318 2351839.90 2312330.11  1.68%   9.7  745s
  8048  5288 2343283.69  262  303 2351839.90 2312330.11  1.68%   9.7  750s
  8172  5412 2343452.53  324  305 2351839.90 2312330.11  1.68%   9.6  755s
  8314  5554 2343658.65  395  304 2351839.90 2312330.11  1.68%   9.5  760s
  8442  5682 2343837.58  459  304 2351839.90 2312330.11  1.68%   9.3  765s
  8572  5812 2344011.71  524  305 2351839.90 2312330.11  1.68%   9.2  770s
  8703  5943 2344137.70  590  305 2351839.90 2312330.11  1.68%   9.1  775s
  8830  6070 2344254.98  653  304 2351839.90 2312330.11  1.68%   9.0  780s
  8955  6195 2344362.81  716  305 2351839.90 2312330.11  1.68%   8.9  785s
  9105  6345 2344496.47  791  305 2351839.90 2312330.11  1.68%   8.8  790s
  9252  6492 2344630.54  864  305 2351839.90 2312330.11  1.68%   8.6  795s
  9396  6636 2344772.64  936  300 2351839.90 2312330.11  1.68%   8.5  800s
  9507  6701 2323683.02   80  317 2351839.90 2312330.15  1.68%   8.5  805s
  9615  6805 2328309.30  134  306 2351839.90 2312330.15  1.68%   8.5  810s
  9732  6922 2328368.61  193  306 2351839.90 2312330.15  1.68%   8.5  815s
  9860  7050 2328444.15  257  306 2351839.90 2312330.15  1.68%   8.4  820s
  9985  7175 2328530.12  319  306 2351839.90 2312330.15  1.68%   8.3  825s
 10132  7322 2328604.67  393  306 2351839.90 2312330.15  1.68%   8.3  830s
 10246  7410 2348641.43  445  303 2351839.90 2312330.15  1.68%   8.3  835s
 10363  7481 2323710.34   79  315 2351839.90 2312330.22  1.68%   8.3  840s
 10492  7610 2327888.46  119  315 2351839.90 2312330.22  1.68%   8.2  845s
 10634  7724 2329679.68  161  326 2351839.90 2312330.22  1.68%   8.1  850s
 10750  7784 2330976.39  209  317 2351839.90 2312330.22  1.68%   8.1  855s
 10874  7830     cutoff  254      2351839.90 2312330.22  1.68%   8.0  860s
 10992  7871 2334093.73  288  328 2351839.90 2312330.22  1.68%   8.0  865s
 11155  7968 2337408.76  384  321 2351839.90 2312330.22  1.68%   7.9  870s
 11387  8200 2337682.59  616  321 2351839.90 2312330.22  1.68%   7.8  875s
 11547  8359 2337836.31  657  318 2351839.90 2312330.22  1.68%   7.7  880s
 11690  8502 2337960.86  697  319 2351839.90 2312330.22  1.68%   7.6  885s
 11849  8661 2338110.52  736  318 2351839.90 2312330.22  1.68%   7.5  890s
 12019  8831 2338273.96  775  318 2351839.90 2312330.22  1.68%   7.4  895s
 12181  8993 2338432.39  813  318 2351839.90 2312330.22  1.68%   7.4  900s
 12345  9157 2338597.74  856  318 2351839.90 2312330.22  1.68%   7.3  905s
 12507  9319 2338752.42  892  318 2351839.90 2312330.22  1.68%   7.2  910s
 12662  9474 2338884.65  930  317 2351839.90 2312330.22  1.68%   7.1  915s
 12919  9731 2339394.09 1187  317 2351839.90 2312330.22  1.68%   7.0  920s
 13140  9952 2339722.99 1343  316 2351839.90 2312330.22  1.68%   6.9  925s
 13294 10099 2339765.25 1370  300 2351839.90 2312330.22  1.68%   6.8  930s
 13545 10350 2340038.81 1502  298 2351839.90 2312330.22  1.68%   6.7  935s
 13866 10671 2340516.86 1716  298 2351839.90 2312330.22  1.68%   6.6  940s
 14113 10916 2341284.50 1838  298 2351839.90 2312330.22  1.68%   6.5  945s
 14182 10985 2342043.24 1841  302 2351839.90 2312330.22  1.68%   6.6  950s
 14273 11034 2343414.66 1855  309 2351839.90 2312330.22  1.68%   6.6  955s
 14365 11050 2346841.20 1876  331 2351839.90 2312330.22  1.68%   6.7  960s
 14455 11088 2348277.63 1901  345 2351839.90 2312330.22  1.68%   6.7  965s
 14538 11106 2349568.24 1911  348 2351839.90 2312330.22  1.68%   6.8  970s
 14599 11125 2351274.92 1920  346 2351839.90 2312330.22  1.68%   6.8  975s
 14687 11174 2322983.31   64  314 2351839.90 2312330.28  1.68%   6.8  980s
 14787 11266 2328642.48   97  315 2351839.90 2312330.28  1.68%   6.8  985s
 14900 11373 2331493.72  127  313 2351839.90 2312330.28  1.68%   6.8  990s
 15001 11434 2333206.23  167  308 2351839.90 2312330.28  1.68%   6.8  996s
 15074 11488 2334378.03  196  316 2351839.90 2312330.28  1.68%   6.8 1000s
 15208 11551 2340636.76  233  326 2351839.90 2312330.28  1.68%   6.8 1005s
 15352 11648 2341441.25  334  331 2351839.90 2312330.28  1.68%   6.8 1010s
 15572 11868 2343450.38  554  331 2351839.90 2312330.28  1.68%   6.7 1015s
 15808 12104 2344480.07  776  322 2351839.90 2312330.28  1.68%   6.6 1020s
 16016 12312 2344716.61  942  320 2351839.90 2312330.28  1.68%   6.6 1025s
 16152 12448 2344773.10  962  313 2351839.90 2312330.28  1.68%   6.5 1030s
 16303 12599 2344829.17  987  313 2351839.90 2312330.28  1.68%   6.5 1035s
 16456 12752 2344991.31 1050  313 2351839.90 2312330.28  1.68%   6.4 1040s
 16591 12887 2345157.73 1120  314 2351839.90 2312330.28  1.68%   6.4 1045s
 16746 13042 2345356.82 1195  314 2351839.90 2312330.28  1.68%   6.4 1050s
 16880 13176 2345540.08 1262  313 2351839.90 2312330.28  1.68%   6.3 1055s
 17023 13319 2345725.34 1336  314 2351839.90 2312330.28  1.68%   6.3 1060s
 17166 13462 2345923.27 1394  312 2351839.90 2312330.28  1.68%   6.3 1065s
 17311 13607 2345962.26 1413  312 2351839.90 2312330.28  1.68%   6.2 1070s
 17485 13781 2346020.94 1439  312 2351839.90 2312330.28  1.68%   6.2 1075s
 17647 13943 2346112.96 1489  312 2351839.90 2312330.28  1.68%   6.1 1080s
 17787 14083 2346192.45 1529  312 2351839.90 2312330.28  1.68%   6.1 1085s
 17932 14228 2346274.46 1573  313 2351839.90 2312330.28  1.68%   6.1 1090s
 18079 14375 2346357.93 1615  313 2351839.90 2312330.28  1.68%   6.0 1095s
 18209 14505 2346432.30 1646  312 2351839.90 2312330.28  1.68%   6.0 1100s
 18356 14652 2346515.77 1688  312 2351839.90 2312330.28  1.68%   6.0 1105s
 18494 14790 2346593.89 1731  312 2351839.90 2312330.28  1.68%   5.9 1110s
 18643 14937 2346684.18 1769  312 2351839.90 2312330.28  1.68%   5.9 1115s
 18750 15043 2346874.74 1805  312 2351839.90 2312330.28  1.68%   5.9 1120s
 18864 15157 2347091.49 1843  312 2351839.90 2312330.28  1.68%   5.8 1125s
 18966 15259 2347296.56 1877  312 2351839.90 2312330.28  1.68%   5.8 1130s
 19090 15383 2347536.59 1918  312 2351839.90 2312330.28  1.68%   5.8 1135s
 19200 15493 2347751.68 1955  311 2351839.90 2312330.28  1.68%   5.8 1140s
 19311 15604 2347956.72 1991  312 2351839.90 2312330.28  1.68%   5.8 1145s
 19419 15712 2348162.06 2027  312 2351839.90 2312330.28  1.68%   5.7 1150s
 19522 15815 2348357.94 2062  312 2351839.90 2312330.28  1.68%   5.7 1155s
 19598 15891 2348502.31 2086  312 2351839.90 2312330.28  1.68%   5.7 1160s
 19701 15994 2348698.22 2121  312 2351839.90 2312330.28  1.68%   5.7 1165s
 19826 16119 2348935.80 2162  312 2351839.90 2312330.28  1.68%   5.7 1170s
 19921 16194     cutoff 2215      2351839.90 2312330.28  1.68%   5.7 1175s
 20036 16275 2325894.34   73  316 2351839.90 2312330.49  1.68%   5.7 1180s
 20089 16324 2327132.52   91  315 2351839.90 2312330.49  1.68%   5.7 1185s
 20179 16399 2328613.32  119  313 2351839.90 2312330.49  1.68%   5.7 1190s
 20280 16465 2329962.80  163  307 2351839.90 2312330.49  1.68%   5.7 1195s
 20404 16568 2331111.57  213  313 2351839.90 2312330.49  1.68%   5.7 1200s
 20528 16625 2332997.04  258  327 2351839.90 2312330.49  1.68%   5.7 1205s
 20646 16647 2337511.61  305  354 2351839.90 2312330.49  1.68%   5.7 1210s
 20751 16688     cutoff  361      2351839.90 2312330.49  1.68%   5.7 1215s
 20839 16738     cutoff  383      2351839.90 2312330.49  1.68%   5.7 1220s
 20920 16762 2345848.31  412  382 2351839.90 2312330.49  1.68%   5.8 1225s
 20988 16796 2348758.61  435  389 2351839.90 2312330.49  1.68%   5.8 1230s
 21086 16889 2349639.55  505  355 2351839.90 2312330.49  1.68%   5.8 1235s
 21274 17075 2349869.85  674  347 2351839.90 2312330.49  1.68%   5.8 1240s
 21435 17236 2350034.06  795  345 2351839.90 2312330.49  1.68%   5.8 1245s
 21555 17356 2350074.27  809  336 2351839.90 2312330.49  1.68%   5.7 1250s
 21662 17463 2350116.09  847  328 2351839.90 2312330.49  1.68%   5.7 1255s
 21776 17577 2350158.54  893  323 2351839.90 2312330.49  1.68%   5.7 1260s
 21899 17700 2350205.69  954  323 2351839.90 2312330.49  1.68%   5.7 1265s
 22024 17825 2350264.21 1014  323 2351839.90 2312330.49  1.68%   5.6 1270s
 22159 17960 2350326.18 1079  323 2351839.90 2312330.49  1.68%   5.6 1275s
 22282 18083 2350380.86 1135  320 2351839.90 2312330.49  1.68%   5.6 1280s
 22406 18207 2350438.99 1194  320 2351839.90 2312330.49  1.68%   5.6 1285s
 22534 18335 2350492.64 1256  320 2351839.90 2312330.49  1.68%   5.5 1290s
 22660 18461 2350546.08 1322  321 2351839.90 2312330.49  1.68%   5.5 1295s
 22777 18578 2350598.72 1370  320 2351839.90 2312330.49  1.68%   5.5 1300s
 22896 18697 2350653.98 1430  321 2351839.90 2312330.49  1.68%   5.5 1305s
 23016 18817 2350709.46 1486  321 2351839.90 2312330.49  1.68%   5.4 1310s
 23146 18947 2350757.18 1549  321 2351839.90 2312330.49  1.68%   5.4 1315s
 23284 19085 2350820.04 1610  320 2351839.90 2312330.49  1.68%   5.4 1320s
 23409 19210 2350878.56 1670  320 2351839.90 2312330.49  1.68%   5.4 1325s
 23517 19318 2351221.49 1708  315 2351839.90 2312330.49  1.68%   5.4 1330s
 23622 19369     cutoff   54      2351839.90 2312330.59  1.68%   5.4 1335s
